YEAR,MONTH,gas_ccgt,gas_ocgt,gas_steam
2010,1,92.2004239833334,43.5666529249999,15.451364125
2010,2,94.6779607916669,40.97855915,19.1900321
2010,3,92.4329007833333,35.7826592166667,14.1691286833334
2010,4,87.0593695,33.912169525,24.1094684916666
2010,5,105.363861425,37.2109064666667,23.7251229916667
2010,6,118.871626525,37.7214847583333,19.8941780916667
2010,7,127.347626841667,29.8323174,21.6616564166666
2010,8,130.706877383333,30.02718845,19.8883039333334
2010,9,125.573454558333,30.1924894416667,20.107176575
2010,10,114.594014666667,35.0351733666667,14.6991372916667
2010,11,115.453892425,32.7446949666667,13.3434600583334
2010,12,132.042267841667,28.3374884,11.178867425
2011,1,122.271026666667,41.0364688083334,26.5711452416667
2011,2,118.003690175,33.9889799166666,25.5286381333333
2011,3,122.637402,29.5891282583334,14.0574381
2011,4,99.1031966416667,21.8192609416667,11.69084095
2011,5,113.251051533333,24.5245547916667,21.7027257666667
2011,6,111.176498475,19.4374279416667,17.769488225
2011,7,113.949807133333,24.162378475,25.76567375
2011,8,121.946568891667,23.934765075,22.0977382333333
2011,9,91.1503304083332,23.7950386666667,15.0011938083333
2011,10,97.57045485,27.2837519833333,12.4864971666667
2011,11,124.152344216667,32.1104841083333,22.070077075
2011,12,126.983100575,25.0488990666666,14.9183181833333
2012,1,129.180613,27.6137067,22.702844575
2012,2,124.90501845,22.1935931,19.4384218333334
2012,3,122.908067116667,23.4054528916667,15.83279605
2012,4,120.128619941667,23.0507962,25.8345310666666
2012,5,111.563232458333,20.3926959333333,17.8351039666667
2012,6,113.647765216667,25.8580110083333,27.2150737333333
2012,7,127.914044533333,39.263016275,26.7216186666667
2012,8,108.468399,39.03991395,22.7079927333333
2012,9,97.8614789083332,38.6778958750001,16.203215625
2012,10,131.874095783333,47.9188308666667,9.33429031666667
2012,11,126.72613445,36.3395825166667,9.88385687500001
2012,12,124.000920383333,33.571134475,9.38941686666668
2013,1,135.258124958333,42.37559115,15.6475885916667
2013,2,125.724457491667,33.1937925,17.0699621333333
2013,3,120.7355324,33.2122517333333,16.045421625
2013,4,101.101351725,27.6841586583333,11.5581561333333
2013,5,91.2445517,31.09929455,17.0889790416667
2013,6,100.196465583333,31.3956840916667,22.31646075
2013,7,103.707445358333,30.251499825,17.7965726333333
2013,8,100.302201066667,38.3123143666667,18.8309991833334
2013,9,87.7641985666667,49.5189255333333,13.708099125
2013,10,100.816553191667,31.918464275,8.56612545000002
2013,11,114.010791566667,24.254207825,10.0063472583333
2013,12,118.419891575,28.0975557083333,12.1329654083333
2014,1,133.544844416667,40.121148875,18.7789656916667
2014,2,113.991327708333,39.5726287333334,16.0316613083333
2014,3,123.052713258333,44.4545341916667,9.56127128333332
2014,4,113.527350433333,43.2647541833333,11.335509975
2014,5,120.590312925,51.659925325,14.6575223333333
2014,6,127.507248641666,50.898413425,12.07657525
2014,7,116.190052983333,53.7191695916667,10.82532005
2014,8,106.016384658333,45.1906898666667,21.71110315
2014,9,62.3311039166669,61.7448814416667,11.1032737166667
2014,10,80.5491317500001,58.7403451499999,10.9461620916667
2014,11,107.242889283333,71.9304286583334,10.4736505583334
2014,12,96.8633818166667,59.38416665,10.3150419666667
2015,1,96.10826145,51.6526911583333,11.2549500833333
2015,2,87.6856721833335,45.7281466833333,14.6051922083333
2015,3,95.7384793583335,60.6722711833334,7.90507744166668
2015,4,72.9249523666668,51.8148172750001,9.6525689
2015,5,69.7678222833333,47.3159623499999,11.7077996416667
2015,6,79.9707066833332,43.5292480083333,18.1665927333333
2015,7,72.2200061916666,25.11505265,21.2092304833333
2015,8,71.3983211583332,27.624058525,20.7476901916667
2015,9,72.3845063999999,22.552885975,22.1055439166667
2015,10,65.9530876333332,30.2099986916667,17.7572242833334
2015,11,78.4114803666667,51.3674356249999,19.0785657083333
2015,12,86.1674307666666,52.9541468333334,25.1644486583333
2016,1,74.7552407416666,35.9538051,17.4414929916667
2016,2,77.0772309000001,40.0382782250001,11.8362425833333
2016,3,85.4564738833334,41.7910831166666,21.7652543083333
2016,4,60.3193136,46.3488050333334,17.41034415
2016,5,67.8310527000001,28.4538193416667,23.2021258333333
2016,6,69.7836272,39.0671590583334,29.4642911833333
2016,7,64.071094575,22.3779930583333,28.7659429333332
2016,8,50.4625796916667,10.508514775,23.3640074333333
2016,9,56.1454349916666,14.6944154083334,19.7064244416667
2016,10,51.7334319500001,14.20624935,16.2302421833334
2016,11,63.7081506083335,22.1136865833333,19.9850293916667
2016,12,54.1847934166668,10.1522282500001,18.129280325
2017,1,86.2402301166667,38.1167954666666,22.7671584416666
2017,2,86.6412457333333,40.2218363083333,20.798789175
2017,3,100.091189033333,36.2958344166667,22.9430467
2017,4,88.1290386083333,55.5777161166667,17.3064022666667
2017,5,87.8099175416668,31.3996991583334,27.5349257416667
2017,6,90.5127850833333,38.2174482249999,29.3984607083333
2017,7,70.5664926250001,34.6293021166667,37.9524671583333
2017,8,67.8755290666666,38.905142525,32.0526145250001
2017,9,75.5300201500001,31.57156515,17.0932576416667
2017,10,84.2247846333333,20.56383205,22.635389275
2017,11,103.75341545,30.0854244916667,41.2814303833334
2017,12,99.0335749500001,24.5231996833334,28.9273261833333
2018,1,105.235155266667,21.9086914666667,26.8487233666666
2018,2,87.0291148166668,16.7586165750002,20.9100977833333
2018,3,97.5162150666667,11.2274464583333,16.0482335666667
2018,4,63.064742975,27.1376185833333,21.0245466083333
2018,5,53.9316066083334,29.7204902916668,23.040026175
2018,6,55.6970045083334,33.9896916166668,30.4579675999999
